Rank,Name,SpecScore,rating,price,tag,sim,processor,storage,battery,display,camera,memoryExternal,version,fm,RAM_GB,Storage_GB,Battery_mAh,Screen_inches,FrontCamera_MP,BackCamera_MP,Processor_Speed_GHz,Processor_Name,Processor_Name_Cleaned,ProcessorScore,img,Closest_Launched,Launched_SpecScore,ScoreDifference
22,Oscal Pilot 3,77,4.65,17990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 6300, Octa Core, 2.4 GHz Processor","12 GB RAM, 256 GB inbuilt",7500 mAh Battery with 33W Fast Charging,"6.78 inches, 1080 x 2460 px, 120 Hz Display with Punch Hole",50 MP + 20 MP + 2 MP Triple Rear & 32 MP Front Camera,Memory Card Supported,Android v15,,12.0,256.0,7500.0,6.78,32.0,72.0,2.4,Dimensity 6300,Dimensity 6300,0.9468,https://cdn1.smartprix.com/rx-iZR3XgSbc-w280-h280/oscal-pilot-3.webp,Google Pixel 9 Pro,77,0
23,OPPO Reno 14 5G (12GB RAM + 256GB),77,4.25,34999,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 8350, Octa Core, 3.35 GHz Processor","12 GB RAM, 256 GB inbuilt",6000 mAh Battery with 80W Fast Charging,"6.59 inches, 1256 x 2760 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,,Android v15,No FM Radio,12.0,256.0,6000.0,6.59,50.0,108.0,3.35,Dimensity 8350,Dimensity 8350,0.8191,https://cdn1.smartprix.com/rx-ifV8wGpja-w280-h280/oppo-reno-14-5g-12gb.webp,Google Pixel 9 Pro,77,0
24,Vivo S30 Pro Mini,77,4.65,40990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Dimensity 9300 Plus, Octa Core, 3.4 GHz Processor","12 GB RAM, 256 GB inbuilt",6500 mAh Battery with 90W Fast Charging,"6.31 inches, 1216 x 2640 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,Memory Card Not Supported,Android v15,,12.0,256.0,6500.0,6.31,50.0,108.0,3.4,Dimensity 9300 Plus,Dimensity 9300 Plus,0.7447,https://cdn1.smartprix.com/rx-ihxl2mWnr-w280-h280/vivo-s30-pro-mini.webp,Google Pixel 9 Pro,77,0
25,Vivo X200 FE,77,4.65,49990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 9300 Plus, Octa Core, 3.25 GHz Processor","12 GB RAM, 256 GB inbuilt",6500 mAh Battery with 90W Fast Charging,"6.31 inches, 1216 x 2640 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,Memory Card Not Supported,Android v15,,12.0,256.0,6500.0,6.31,50.0,108.0,3.25,Dimensity 9300 Plus,Dimensity 9300 Plus,0.7447,https://cdn1.smartprix.com/rx-iHI7IaQgQ-w280-h280/vivo-x200-fe.webp,Google Pixel 9 Pro,77,0
26,Honor 400 Pro,77,4.65,64990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","12 GB RAM, 256 GB inbuilt",6000 mAh Battery with 100W Fast Charging,"6.7 inches, 1280 x 2800 px, 120 Hz Display with Punch Hole",200 MP + 50 MP + 12 MP Triple Rear & 50 MP + 2 MP Dual Front Camera,,Android v15,No FM Radio,12.0,256.0,6000.0,6.7,50.0,262.0,3.3,Snapdragon 8 Gen3,Snapdragon 8 Gen3,0.2234,https://cdn1.smartprix.com/rx-ixMg6kAcQ-w280-h280/honor-400-pro.webp,Google Pixel 9 Pro,77,0
27,Energizer P28K,77,4.1,22990,UPCOMING,"Dual Sim, 3G, 4G, Wi-Fi, NFC","Helio G99, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",28000 mAh Battery with 33W Fast Charging,"6.78 inches, 1080 x 2460 px Display with Punch Hole",60 MP + 20 MP + 2 MP Triple Rear & 16 MP Front Camera,Memory Card Supported,Android v14,,8.0,256.0,28000.0,6.78,16.0,82.0,2.2,Helio G99,Helio G99,0.5851,https://cdn1.smartprix.com/rx-iZm7agXam-w280-h280/energizer-p28k.webp,Google Pixel 9 Pro,77,0
28,Xiaomi 15S Pro,77,4.0,66990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Xring O1, Deca Core, 3.9 GHz Processor","16 GB RAM, 512 GB inbuilt",6100 mAh Battery with 90W Fast Charging,"6.73 inches, 1440 x 3200 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,Memory Card Not Supported,Android v15,,16.0,512.0,6100.0,6.73,32.0,150.0,3.9,Xring O1,Xring O1,0.0106,https://cdn1.smartprix.com/rx-imBALtzP7-w280-h280/xiaomi-15s-pro.webp,Google Pixel 9 Pro,77,0
29,Oppo Find X9 Ultra,76,4.0,80990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8 Elite 2, Octa Core Processor","12 GB RAM, 256 GB inbuilt",6100 mAh Battery with 100W Fast Charging,"6.82 inches, 1440 x 3168 px, 120 Hz Display with Punch Hole",200 MP Quad Rear & 50 MP Front Camera,,Android v15,No FM Radio,12.0,256.0,6100.0,6.82,50.0,200.0,,Snapdragon 8 Elite 2,Snapdragon 8 Elite 2,0.2553,https://cdn1.smartprix.com/rx-iKdub473O-w280-h280/oppo-find-x9-ultra.webp,iQOO Z9s (12GB RAM + 256GB),76,0
30,Realme Neo 7 Turbo (16GB RAM + 256GB),76,4.15,26990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Dimensity 9400e, Octa Core Processor","16 GB RAM, 256 GB inbuilt",7200 mAh Battery with 100W Fast Charging,"6.8 inches, 1280 x 2800 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,,Android v15,No FM Radio,16.0,256.0,7200.0,6.8,16.0,58.0,,Dimensity 9400e,Dimensity 9400e,0.7128,https://cdn1.smartprix.com/rx-iJGMp2hwq-w280-h280/realme-neo-7-turbo-1.webp,iQOO Z9s (12GB RAM + 256GB),76,0
31,Vivo X200S,76,4.15,54990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 9400 Plus, Octa Core, 3.63 GHz Processor","12 GB RAM, 256 GB inbuilt",6200 mAh Battery with 90W Fast Charging,"6.67 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,Memory Card Not Supported,Android v15,,12.0,256.0,6200.0,6.67,32.0,150.0,3.63,Dimensity 9400 Plus,Dimensity 9400 Plus,0.7234,https://cdn1.smartprix.com/rx-iEqTvdZb4-w280-h280/vivo-x200s.webp,iQOO Z9s (12GB RAM + 256GB),76,0
32,OPPO Find X8S,76,4.5,49990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 9400 Plus, Octa Core, 3.63 GHz Processor","12 GB RAM, 256 GB inbuilt",5700 mAh Battery with 80W Fast Charging,"6.32 inches, 1216 x 2640 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,,Android v15,No FM Radio,12.0,256.0,5700.0,6.32,32.0,150.0,3.63,Dimensity 9400 Plus,Dimensity 9400 Plus,0.7234,https://cdn1.smartprix.com/rx-i458ViUHF-w280-h280/oppo-find-x8s.webp,iQOO Z9s (12GB RAM + 256GB),76,0
33,Poco X7 Pro Iron Man Edition,76,4.35,34990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 8400 Ultra, Octa Core, 3.25 GHz Processor","12 GB RAM, 512 GB inbuilt",6550 mAh Battery with 90W Fast Charging,"6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 20 MP Front Camera,,Android v15,No FM Radio,12.0,512.0,6550.0,6.67,20.0,58.0,3.25,Dimensity 8400 Ultra,Dimensity 8400 Ultra,0.7872,https://cdn1.smartprix.com/rx-i2mcteR2i-w280-h280/poco-x7-pro-iron-man.webp,iQOO Z9s (12GB RAM + 256GB),76,0
34,Realme Neo 7 Turbo (12GB RAM + 512GB),76,4.0,29990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Dimensity 9400e, Octa Core Processor","12 GB RAM, 512 GB inbuilt",7200 mAh Battery with 100W Fast Charging,"6.8 inches, 1280 x 2800 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,,Android v15,No FM Radio,12.0,512.0,7200.0,6.8,16.0,58.0,,Dimensity 9400e,Dimensity 9400e,0.7128,https://cdn1.smartprix.com/rx-iJGMp2hwq-w280-h280/realme-neo-7-turbo-1.webp,iQOO Z9s (12GB RAM + 256GB),76,0
35,Tecno Pova 7 Pro,76,4.7,23990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Dimensity 7050, Octa Core, 2.6 GHz Processor","8 GB RAM, 256 GB inbuilt",6000 mAh Battery with 100W Fast Charging,"6.82 inches, 1080 x 2436 px, 144 Hz Display with Punch Hole",200 MP + 8 MP + 0.08 MP Triple Rear & 32 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v14,,8.0,256.0,6000.0,6.82,32.0,216.0,2.6,Dimensity 7050,Dimensity 7050,0.9149,https://cdn1.smartprix.com/rx-iMYuUZ08I-w280-h280/tecno-pova-7-pro.webp,iQOO Z9s (12GB RAM + 256GB),76,0
36,Xiaomi 14T,76,4.25,60990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 8300 Ultra, Octa Core, 3.35 GHz Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 67W Fast Charging,"6.67 inches, 1220 x 2712 px, 144 Hz Display with Punch Hole",50 MP + 50 MP + 12 MP Triple Rear & 32 MP Front Camera,,Android v14,No FM Radio,12.0,256.0,5000.0,6.67,32.0,112.0,3.35,Dimensity 8300 Ultra,Dimensity 8300 Ultra,0.8298,https://cdn1.smartprix.com/rx-iymtfQC6N-w280-h280/xiaomi-14t.webp,iQOO Z9s (12GB RAM + 256GB),76,0
37,Vivo X200 Pro Mini,76,4.35,55990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 9400, Octa Core, 3.63 GHz Processor","12 GB RAM, 256 GB inbuilt",5700 mAh Battery with 90W Fast Charging,"6.31 inches, 1216 x 2640 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,Memory Card Not Supported,Android v15,,12.0,256.0,5700.0,6.31,32.0,150.0,3.63,Dimensity 9400,Dimensity 9400,0.734,https://cdn1.smartprix.com/rx-ieHTKHr1O-w280-h280/vivo-x200-pro-mini.webp,iQOO Z9s (12GB RAM + 256GB),76,0
38,Unihertz Titan 2,76,4.6,34990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 7300, Octa Core, 2.5 GHz Processor","12 GB RAM, 512 GB inbuilt",5050 mAh Battery with 33W Fast Charging,"4.5 inches, 1440 x 1440 px Display",50 MP + 8 MP Dual Rear & 32 MP Front Camera,,Android v15,,12.0,512.0,5050.0,4.5,32.0,58.0,2.5,Dimensity 7300,Dimensity 7300,0.883,https://cdn1.smartprix.com/rx-i00RPn8X2-w280-h280/unihertz-titan-2.webp,iQOO Z9s (12GB RAM + 256GB),76,0
39,Infinix Note 50 Pro Plus 5G,76,4.6,31990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 8350, Octa Core, 3.35 GHz Processor","12 GB RAM, 256 GB inbuilt",5200 mAh Battery with 100W Fast Charging,"6.78 inches, 1080 x 2436 px, 144 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 32 MP Front Camera,,Android v15,,12.0,256.0,5200.0,6.78,32.0,108.0,3.35,Dimensity 8350,Dimensity 8350,0.8191,https://cdn1.smartprix.com/rx-ikZrMeRgY-w280-h280/infinix-note-50-pro.webp,iQOO Z9s (12GB RAM + 256GB),76,0
40,Acer Super ZX Pro,76,4.05,17990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 7400, Octa Core Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.7 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 5 MP + 2 MP Triple Rear & 50 MP Front Camera,,Android v15,,12.0,256.0,5000.0,6.7,50.0,57.0,,Dimensity 7400,Dimensity 7400,0.8723,https://cdn1.smartprix.com/rx-iMoxYFfcQ-w280-h280/acer-super-zx-pro.webp,iQOO Z9s (12GB RAM + 256GB),76,0
41,Moondrop MIAD01,75,4.6,49990,UPCOMING,"Dual Sim, 3G, 4G, 5G, Wi-Fi","Dimensity 7050, Octa Core, 2.6 GHz Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.7 inches, 2460 x 1080 px, 120 Hz Display",64 MP + 8 MP Dual Rear & 32 MP Front Camera,"Memory Card (Hybrid), upto 2 TB",Android v13,,12.0,256.0,5000.0,6.7,32.0,72.0,2.6,Dimensity 7050,Dimensity 7050,0.9149,https://cdn1.smartprix.com/rx-isNtAp2Rh-w280-h280/moondrop-miad01.webp,Samsung Galaxy M55 (12GB RAM + 256GB),75,0
42,Motorola Moto S50,75,4.35,26990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7300, Octa Core Processor","12 GB RAM, 256 GB inbuilt",4310 mAh Battery with 68W Fast Charging,"6.36 inches, 1272 x 2670 px, 120 Hz Display with Punch Hole",50 MP + 13 MP + 10 MP Triple Rear & 32 MP Front Camera,,Android v14,No FM Radio,12.0,256.0,4310.0,6.36,32.0,73.0,,Dimensity 7300,Dimensity 7300,0.883,https://cdn1.smartprix.com/rx-inA0dboUv-w280-h280/motorola-moto-s50.webp,Samsung Galaxy M55 (12GB RAM + 256GB),75,0
43,OPPO Reno 12F 5G,75,4.0,29990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 6300, Octa Core, 2.4 GHz Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 45W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 32 MP Front Camera,Memory Card (Hybrid),Android v14,,12.0,256.0,5000.0,6.67,32.0,60.0,2.4,Dimensity 6300,Dimensity 6300,0.9468,https://cdn1.smartprix.com/rx-iwzZmQl5P-w280-h280/oppo-reno-12f-5g.webp,Samsung Galaxy M55 (12GB RAM + 256GB),75,0
44,Motorola Moto G86 Power 5G,75,4.5,31999,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 7300, Octa Core, 2.5 GHz Processor","8 GB RAM, 512 GB inbuilt",6720 mAh Battery with 30W Fast Charging,"6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,"Memory Card (Hybrid), upto 1 TB",Android v15,,8.0,512.0,6720.0,6.67,32.0,58.0,2.5,Dimensity 7300,Dimensity 7300,0.883,https://cdn1.smartprix.com/rx-i8cGg6f7L-w280-h280/motorola-moto-g86-po.webp,Samsung Galaxy M55 (12GB RAM + 256GB),75,0
45,Honor GT Pro,75,4.5,41999,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","12 GB RAM, 256 GB inbuilt",7200 mAh Battery with 90W Fast Charging,"6.78 inches, 1224 x 2800 px, 144 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 50 MP Front Camera,,Android v15,No FM Radio,12.0,256.0,7200.0,6.78,50.0,150.0,4.32,Snapdragon 8 Elite,Snapdragon 8 Elite,0.266,https://cdn1.smartprix.com/rx-iEOmbmCjy-w280-h280/honor-gt-pro.webp,Samsung Galaxy M55 (12GB RAM + 256GB),75,0
46,Vivo X Fold 4,74,4.15,139990,UPCOMING,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 8 Elite, Octa Core, 4.32 GHz Processor","12 GB RAM, 256 GB inbuilt",6000 mAh Battery with 80W Fast Charging,"8.2 inches, 1916 x 2160 px, 144 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP + 32 MP Dual Front Camera,,Android v14,,12.0,256.0,6000.0,8.2,32.0,150.0,4.32,Snapdragon 8 Elite,Snapdragon 8 Elite,0.266,https://cdn1.smartprix.com/rx-igSHYr4Qo-w280-h280/vivo-x-fold-4.webp,Motorola Edge 60 Fusion,74,0
